[TRACE][2021/12/06 15:36:43:691][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 115/999
[TRACE][2021/12/06 15:36:43:777][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 116/999
[TRACE][2021/12/06 15:36:43:863][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 117/999
[TRACE][2021/12/06 15:36:43:950][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 118/999
[TRACE][2021/12/06 15:36:44:036][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 119/999
[TRACE][2021/12/06 15:36:44:122][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 120/999
[TRACE][2021/12/06 15:36:44:208][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 121/999
[TRACE][2021/12/06 15:36:44:294][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 122/999
[TRACE][2021/12/06 15:36:44:380][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 123/999
[TRACE][2021/12/06 15:36:44:467][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 124/999
[TRACE][2021/12/06 15:36:44:553][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 125/999
[TRACE][2021/12/06 15:36:44:639][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 126/999
[TRACE][2021/12/06 15:36:44:725][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 127/999
[TRACE][2021/12/06 15:36:44:811][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 128/999
[TRACE][2021/12/06 15:36:44:897][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 129/999
[TRACE][2021/12/06 15:36:44:983][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 130/999
